model_name;core_components;manufacturer_of_record
IndigoWatch Max;Golden Shield;Pinecone Devices Inc.
RubyWatch Max;Golden Shield;Pinecone Devices Inc.
SonicCase Max Mini;Sierra Kernel;Windmill Technologies Inc.
Golden Stack Core Aurora;Golden Stack Core;Aurora Industries Inc.
CoreSpeaker Mini Mini;Mint Sense;Skylark Manufacturing Inc.
CopperDock Mini Ultra Edge;Helio Node Engine;Cinder Works Inc.
IndigoCase Air;Nimbus Beam;BlueRiver Works Inc.
OpalCase Air;Nimbus Beam;BlueRiver Works Inc.
SolBeam;Coral Sense;Lighthouse Works Inc.
CrownBeam Ultra;Indigo Pulse Link;Lumen Networks Inc.
UmberDock Edge Lite;Opal Fabric Matrix;Summit Electronics Inc.
BeamNode Mini Air Plus;Umber Kernel Hub;Skylark Manufacturing Inc.
Terra Wave Stack Mosaic;Terra Wave Stack;Mosaic Holdings Inc.
TopazDock Pro;Terra Wave Stack;Mosaic Holdings Inc.
SaffronDock Edge Gen;Mira Sense;Clearwater Technologies Inc.
TopazWatch Gen Pro;Lime Node;GoldenGate Technologies Inc.
Nimbus Flex Aurora;Nimbus Flex;Aurora Industries Inc.
JadeStand SE Edge;Vega Flow;Aurora Systems Inc.
FlexDrive Pro Max;Cerulean Grid / Coral Node Flex / Auric Module Vector / Ivory Pulse / Terra Hub / Auric Stack Flow / Beryl Dock;Aurora Industries Inc.
UmberCharge Ultra;Ember Fabric Grid;Arbor Systems Inc.
DriveNode Edge;Pulse Engine;Mosaic Components Inc.
Aero Fabric Hub Mosaic;Aero Fabric Hub;Mosaic Group Inc.
NimbusWatch Gen SE;Golden Module;Mosaic Systems Inc.
Magenta Stack Nebula;Magenta Stack;Nebula Systems Inc.
SaffronBuds Mini SE Air;Umbral Sense;DeepField Systems Inc.
MintWatch Edge Max;Umbral Sense;Mountain Industries Inc.
BeamCam Lite Mini;Nimbus Beam;Nightfall Electronics Inc.
HarborBuds SE Pro Max;Echo Engine;Aurora Systems Inc.
Nimbus Beam Mosaic;Nimbus Beam;Mosaic Group Inc.
Nova Stack Vault Aurora;Nova Stack Vault;Aurora Industries Inc.
LyraHub Mini Mini SE;Helio Layer;Atlas Electronics Inc.
AtlasPhone Lite;Crimson Edge / Azure Edge;Clearwater Technologies Inc.
SonicLink Edge Mini;Kairo Kernel Engine;Aurora Systems Inc.
GraphiteLink Pro Plus;Aero Fabric Hub;Saffron Industries Inc.
CatalystCase Lite;Nova Core;Orion Labs Inc.
AstraBuds Mini;Echo Layer / Coral Core;RedStone Works Inc.
CitrineWatch Plus Ultra;Cobalt Engine;Mosaic Components Inc.
Cinder Sync Aurora;Cinder Sync;Aurora Systems Inc.
BridgeCharge Lite;Cobalt Engine Flow;Cinder Works Inc.
EdgeCase Lite Mini;Vega Sense;Evergreen Holdings Inc.
Onyx Wave Aurora;Onyx Wave;Aurora Industries Inc.
BridgePhone Gen;Jade Matrix Shield;Aurora Systems Inc.
SummitKey Plus Pro;Opal Stack;Mosaic Components Inc.
NimbusPhone Air;Pulse Matrix;Starlight Systems Inc.
AzureNode;Zen Matrix Arc;Aurora Group Inc.
SaffronDrive;Umber Drive Spark;Seabird Manufacturing Inc.
CodaDock Mini Edge Gen;Sol Beam;Evergreen Components Inc.
OnyxBook Plus Mini;Sol Stack Node;Mosaic Components Inc.
EdgeBeam Lite SE;Ruby Grid;Aurora Systems Inc.
SilverRouter Mini Air Plus;Onyx Beam;Skylark Manufacturing Inc.
TopazPhone Gen;Auric Grid Frame;Pinecone Devices Inc.
FlexCam Lite Gen;Nova Kernel / Astra Frame;Glacier Networks Inc.
Coda Node Shield Aurora;Coda Node Shield;Aurora Industries Inc.
BeamSpeaker Ultra Gen;Azure Wave;Evergreen Holdings Inc.
Nova Spark Saffron;Nova Spark;Saffron Industries Inc.
TerraCase SE;Auric Frame;Seabird Manufacturing Inc.
AuroraDrive Lite Ultra;Azure Wave / Coral Pulse / Coral Shield / Helio Node Engine;Evergreen Holdings Inc.
SlatePad Pro Pro;Nova Edge;Skylark Manufacturing Inc.
Graphite Shield Aurora;Graphite Shield;Aurora Industries Inc.
LumenStand Ultra;Violet Matrix / Mint Mesh;Mosaic Group Inc.
CoreDrive Air;Violet Matrix / Mint Mesh;Mosaic Group Inc.
HarborStand Edge;Orion Pulse;Mosaic Components Inc.
LyraBuds Plus;Luna Engine Engine;RedStone Works Inc.
DriveKey Max Ultra Edge;Luna Engine Engine;Evergreen Holdings Inc.
MintPhone SE Pro Max;Luna Engine Engine;RedStone Works Inc.
HelioKey SE Max;Topaz Flow;Mountain Systems Inc.
NovaStand Ultra;Kairo Pulse / Copper Core;Aurora Systems Inc.
ZenithPad Mini;Beryl Wave / Mint Dock;NovaWorks Components Inc.
OpalNode Plus;Nimbus Fabric;Cinder Works Inc.
GraphiteCam Max Lite;Teal Engine Sync;Pinecone Systems Inc.
SolStand Mini SE;Luna Engine Engine;Evergreen Holdings Inc.
IndigoNode Ultra Plus;Sierra Grid Beam;BlueRiver Networks Inc.
Cobalt Signal Mosaic;Cobalt Signal;Mosaic Holdings Inc.
CobaltDrive Max;Cobalt Signal;Mosaic Holdings Inc.
NebulaBook SE Edge Gen;Cobalt Signal;Mosaic Holdings Inc.
NimbusBeam;Terra Wave Stack;Mosaic Holdings Inc.
NebulaPad SE SE Air;Violet Edge;Seabird Works Inc.
SlatePhone Lite Mini;Golden Node;Harbor Systems Inc.
Nova Spark Aurora;Nova Spark;Aurora Industries Inc.
VegaCam Air Max;Delta Shield Sense;Photon Technologies Inc.
CobaltDrive Plus Plus;Quartz Engine Drive;Clearwater Technologies Inc.
SparkPad SE;Umbral Wave;Clearwater Technologies Inc.
Beryl Link Aurora;Beryl Link;Aurora Industries Inc.
CoreSpeaker Ultra Mini;Cinder Drive Pulse;BrightWave Electronics Inc.
Auric Stack Windmill;Auric Stack;Windmill Manufacturing Inc.
AuroraStand Edge;Coral Shield / Sonic Kernel Layer / Nova Node Stack;Copperline Group Inc.
MintDock Mini Pro Max;Golden Engine Kernel;BlueRiver Technologies Inc.
AtlasStand Gen Lite;Umber Dock;Summit Electronics Inc.
Maple Flex EchoLabs;Maple Flex;EchoLabs Industries Inc.
MiraCharge Max Plus;Quartz Drive;Clearwater Technologies Inc.
NimbusKey Air SE;Beryl Link;Clearwater Technologies Inc.
PearlWatch Plus SE;Orion Signal;Clearwater Works Inc.
OrionLink Max Plus;Auric Sense;Copperline Systems Inc.
TopazDrive Pro Max Ultra;Cerulean Edge;Pinecone Components Inc.
AuroraPad Pro Max Ultra;Umber Matrix;BlueRiver Manufacturing Inc.
MintBeam Mini Plus Pro;Pulse Node / Cobalt Wave;Highland Industries Inc.
Terra Stack Windmill;Terra Stack;Windmill Manufacturing Inc.
AzurePad SE Air Plus;Nimbus Node Kernel;Mountain Systems Inc.
Violet Wave Vector EchoLabs;Violet Wave Vector;EchoLabs Industries Inc.
LyraWatch Lite;Ruby Flow;BlueRiver Works Inc.
TopazCharge Pro Pro;Cobalt Bridge Bridge;Mosaic Systems Inc.
Sol Stack Node Aurora;Sol Stack Node;Aurora Industries Inc.
CopperSpeaker SE Max Ultra;Terra Kernel Drive;Lighthouse Manufacturing Inc.
SparkKey Air Max;Aero Fabric Hub;Atlas Electronics Inc.
Pulse Stack Core Nightfall;Pulse Stack Core;Nightfall Works Inc.
SaffronSpeaker Gen Edge;Aero Fabric Hub;Atlas Electronics Inc.
AuroraSpeaker Mini;Pulse Matrix;Seabird Manufacturing Inc.
KairoPad Edge;Sol Core;Skyforge Manufacturing Inc.
HelioWatch Plus Air;Topaz Vector;Skyforge Technologies Inc.
CopperBook Edge Ultra;Coral Matrix Wave;Lighthouse Works Inc.
TealNode;Auric Node / Citrine Fabric Bridge;Pinecone Components Inc.
EdgeSpeaker SE Gen;Echo Signal Frame / Echo Grid Engine;Nightfall Labs Inc.
TopazKey Plus Air;Luna Engine Engine;Evergreen Devices Inc.
Kairo Drive Ironwood;Kairo Drive;Ironwood Industries Inc.
SonicCam SE;Lime Mesh;GoldenGate Works Inc.
TerraPad SE Lite Mini;Frost Matrix Bridge;Arbor Devices Inc.
Kairo Pulse EchoLabs;Kairo Pulse;EchoLabs Industries Inc.
AtlasCharge Max;Terra Signal Flow;Glacier Networks Inc.
SilverStand Edge;Cobalt Bridge / Indigo Shield;Northwind Electronics Inc.
Pearl Vault Summit;Pearl Vault;Summit Electronics Inc.
QuantaBuds SE Max Ultra;Teal Layer;Photon Networks Inc.
AuroraDock Pro;Cedar Sense / Coda Link Flex;GoldenGate Works Inc.
SlateCharge Mini;Mira Core;Aurora Group Inc.
Kairo Pulse Mosaic;Kairo Pulse;Mosaic Group Inc.
HarborBeam Gen;Auric Shield;Ironwood Group Inc.
ArgoPad Gen Plus;Beryl Matrix Core / Golden Drive / Auric Layer;Lighthouse Works Inc.
AzureKey Edge Gen Lite;Umbral Grid Mesh;Stonebridge Systems Inc.
WaveSpeaker SE Ultra;Lime Spark;EchoLabs Industries Inc.
CodaBuds Plus Mini;Copper Flow;Atlas Labs Inc.
BeamStand Plus;Quartz Flex;Quantum Works Inc.
PhotonStand Mini Plus Pro;Lyra Dock;Glacier Networks Inc.
FlexSpeaker Mini;Violet Dock / Aero Hub;Aurora Industries Inc.
AtlasNode Lite Mini SE Air;Violet Dock / Aero Hub;Aurora Industries Inc.
SolNode Mini SE Air;Violet Dock / Aero Hub;Aurora Industries Inc.
SonicCam Lite Pro;Sonic Stack;Evergreen Holdings Inc.
OnyxStand;Argo Sync;BlueRiver Manufacturing Inc.
PulseStand Air Gen;Argo Sync;BlueRiver Manufacturing Inc.
NimbusLink Plus Lite;Copper Arc;BrightWave Manufacturing Inc.
SilverNode Lite Max;Vega Sync;Windmill Networks Inc.
EchoDock Air;Quartz Mesh;Lighthouse Works Inc.
VectorBook Ultra Edge Gen;Sonic Node Drive;Lighthouse Works Inc.
HelioStand Mini SE;Nova Fabric Spark;Saffron Devices Inc.
SolDock Gen;Cedar Hub;Skylark Networks Inc.
Magenta Stack Arbor;Magenta Stack;Arbor Industries Inc.
CobaltBook Ultra Edge;Cinder Sync;Mosaic Holdings Inc.
ZenithCam SE Lite Mini;Atlas Core;Lighthouse Networks Inc.
TerraBeam Max;Mira Node;Evergreen Holdings Inc.
Kairo Pulse Zenith;Kairo Pulse;Zenith Holdings Inc.
SaffronBuds Gen;Golden Sense;NovaWorks Components Inc.
SilverCam Mini Ultra Edge;Sol Grid Drive;Meadow Electronics Inc.
TopazPad Pro Max Ultra;Jade Fabric;Harbor Systems Inc.
FlexBeam Air;Azure Bridge;Pinecone Systems Inc.
RubyCharge Mini;Nimbus Dock;Starlight Holdings Inc.
SonicPad Edge Ultra;Lime Kernel;Cinder Technologies Inc.
QuantaCam SE Ultra Edge;Quartz Engine Drive;BlueRiver Technologies Inc.
CodaNode Ultra Mini;Nova Core;Photon Networks Inc.
PulseStand Gen;Quartz Engine Drive;Skyforge Electronics Inc.
HarborStand Plus Pro Max;Atlas Core / Maple Flex / Coral Drive Node;Nebula Group Inc.
AzureLink Mini Pro;Atlas Core / Maple Flex;Nebula Group Inc.
SignalSpeaker Air;Cobalt Sync;Skylark Manufacturing Inc.
FlexPhone Lite Mini SE;Atlas Stack;Nightfall Manufacturing Inc.
Nimbus Link Drive BrightWave;Nimbus Link Drive;BrightWave Manufacturing Inc.
Atlas Node Aurora;Atlas Node;Aurora Industries Inc.
SaffronBeam Gen;Delta Module Beam;BrightWave Works Inc.
Ivory Node Node BrightWave;Ivory Node Node;BrightWave Electronics Inc.
AuroraBuds Ultra Air;Opal Hub;NovaWorks Components Inc.
SummitDrive Lite Gen;Echo Engine Stack;Mosaic Systems Inc.
GraphiteWatch Edge;Nimbus Wave;Highland Industries Inc.
ZenithHub Edge Plus;Ruby Mesh;Glacier Works Inc.
SaffronLink Mini Air;Mira Sync;Skyforge Electronics Inc.
WaveHub Edge;Violet Shield;Mountain Industries Inc.
CatalystDrive Air;Violet Shield;DeepField Systems Inc.
CopperPhone Lite SE;Magenta Link Fabric;Cinder Works Inc.
NimbusBeam Mini SE Air;Magenta Link Fabric / Sonic Shield Kernel;Cinder Works Inc.
CoreKey Lite;Azure Flex / Magenta Link Fabric;Cinder Works Inc.
FlexCam Edge;Magenta Link Fabric / Sonic Shield Kernel;Cinder Works Inc.
VegaHub Gen Mini;Atlas Sync;Skyforge Electronics Inc.
Saffron Arc RedStone;Saffron Arc;RedStone Works Inc.
SparkStand Lite Plus;Nova Stack Vault / Pulse Dock;Clearwater Works Inc.
MintLink Max Edge;Astra Module Engine;Lighthouse Manufacturing Inc.
WavePhone Pro SE;Mira Sync;BlueRiver Manufacturing Inc.
GlacierStand;Nova Stack Vault;Clearwater Works Inc.
NimbusSpeaker Mini Plus;Pearl Bridge Grid;Evergreen Holdings Inc.
SolKey Plus SE;Opal Bridge Vault;Harbor Devices Inc.
Onyx Grid Flow Aurora;Onyx Grid Flow;Aurora Industries Inc.
PulseBeam Mini Edge Gen;Lyra Shield Stack;NovaWorks Components Inc.
SaffronKey Mini Plus Pro;Copper Engine;Riverstone Works Inc.
SyncPad Pro Pro;Echo Pulse Wave;Windmill Networks Inc.
CodaBook Pro;Saffron Hub;Aurora Group Inc.
CopperKey Gen;Sonic Grid Grid;EchoLabs Holdings Inc.
SummitNode Plus Pro;Quartz Edge;Mosaic Systems Inc.
TealDrive SE Lite;Jade Module Flex;Mosaic Industries Inc.
PulseKey Mini;Azure Fabric;Mountain Components Inc.
TopazBeam Plus Lite;Lyra Layer;Northwind Manufacturing Inc.
Umber Drive Spark BrightWave;Umber Drive Spark;BrightWave Manufacturing Inc.
Auric Node BrightWave;Auric Node;BrightWave Manufacturing Inc.
Nova Stack Vault BrightWave;Nova Stack Vault;BrightWave Manufacturing Inc.
QuantaCam Edge Max;Delta Sync;Mountain Systems Inc.
TealBuds Edge Lite;Aero Kernel Shield;BrightWave Manufacturing Inc.
PhotonPad Mini Edge;Coda Flex / Helio Engine;Atlas Works Inc.
VegaDock Max Mini;Sierra Engine Flex;Skyforge Networks Inc.
ArgoStand Ultra Edge Gen;Echo Stack;EchoLabs Industries Inc.
TealHub Max;Sierra Engine Flex;Skyforge Networks Inc.
CopperNode Gen Ultra;Sierra Engine Flex;Skyforge Networks Inc.
CitrineDrive Lite Lite;Sierra Stack Mesh;Aurora Industries Inc.
SignalPad Gen;Luna Hub / Helio Engine;Aurora Industries Inc.
KairoPhone SE Plus Pro;Cobalt Core Vector;Clearwater Works Inc.
SyncSpeaker Mini Max Ultra;Umber Link;Quantum Works Inc.
HarborWatch Lite Max;Citrine Signal;Crown Devices Inc.
MiraBook Pro;Mira Hub;RedStone Technologies Inc.
CrownBuds Edge;Coral Shield;Cinder Works Inc.
CatalystCharge Lite;Nimbus Link Drive;Aurora Industries Inc.
AstraDrive Mini Ultra Edge;Mira Link Sync;Riverstone Manufacturing Inc.
EchoBook Pro Plus;Mira Link Sync;Riverstone Manufacturing Inc.
Citrine Signal EchoLabs;Citrine Signal;EchoLabs Industries Inc.
HarborCharge Ultra Edge;Umber Link;Quantum Works Inc.
HelioPad Pro Pro;Helio Drive;BlueRiver Manufacturing Inc.
OnyxDock Mini;Astra Engine Fabric;GoldenGate Works Inc.
VegaStand Mini Plus Pro;Nimbus Link Drive;Saffron Industries Inc.
NebulaWatch Edge Edge;Cedar Engine;Aurora Group Inc.
JadeStand Mini Lite;Mira Shield Fabric;Ironwood Systems Inc.
LumenCam Pro SE;Coral Shield / Sonic Kernel Layer / Helio Node Engine;Cinder Works Inc.
GraphiteNode Mini Plus Pro;Cobalt Module;Summit Electronics Inc.
SaffronNode Edge Gen Lite;Coral Pulse;Cinder Works Inc.
TerraStand Lite;Cerulean Fabric Core;Skyforge Labs Inc.
SolRouter SE Gen;Cinder Sync;Arbor Group Inc.
Aero Module Arc Glacier;Aero Module Arc;Glacier Labs Inc.
Teal Layer Evergreen;Teal Layer;Evergreen Components Inc.
LyraDrive Mini;Citrine Link Arc;Catalyst Components Inc.
AzureDock Mini Air Plus;Auric Pulse Bridge;BlueRiver Technologies Inc.
SaffronLink Lite Ultra;Mira Stack;Pinecone Components Inc.
MintSpeaker Edge Gen Lite;Magenta Core Vector;Aurora Systems Inc.
HarborBuds Mini Ultra;Violet Matrix;Skylark Manufacturing Inc.
QuartzNode Ultra Mini;Vega Vector;SilverLine Components Inc.
MiraBuds Pro;Luna Drive;Skyforge Works Inc.
SilverBuds Lite;Sol Shield / Coral Pulse / Coral Shield / Helio Node Engine;Cinder Works Inc.
EdgeHub Gen;Atlas Node;Glacier Works Inc.
MiraDrive Max Ultra;Graphite Engine / Nova Stack Vault;Riverstone Works Inc.
HarborHub Edge;Maple Flex;Nebula Group Inc.
QuantaWatch Max;Maple Flex / Coral Drive Node;Nebula Group Inc.
TealPhone Edge Gen Lite;Violet Mesh;Nebula Group Inc.
OnyxPad SE;Nimbus Grid Stack;Atlas Electronics Inc.
Cerulean Edge Skyforge;Cerulean Edge;Skyforge Manufacturing Inc.
HelioBook Edge;Frost Module Sense;Crown Holdings Inc.
Orion Node Skylark;Orion Node;Skylark Electronics Inc.
Nimbus Beam BlueRiver;Nimbus Beam;BlueRiver Technologies Inc.
Nimbus Link Drive EchoLabs;Nimbus Link Drive;EchoLabs Industries Inc.
CrownLink Max;Ruby Pulse;RedStone Networks Inc.
Copper Arc Mountain;Copper Arc;Mountain Industries Inc.
BridgeNode Air;Quanta Arc;Photon Networks Inc.
DriveLink Pro Max Ultra;Jade Module Flex;Atlas Works Inc.
NovaLink Mini Lite;Cedar Hub;Aurora Group Inc.
Auric Node Mountain;Auric Node;Mountain Industries Inc.
Nimbus Link Drive Mountain;Nimbus Link Drive;Mountain Industries Inc.
Auric Node Photon;Auric Node;Photon Labs Inc.
CodaStand Max;Auric Node;Saffron Industries Inc.
PearlBeam;Sol Engine Mesh / Slate Beam / Magenta Core;Aurora Industries Inc.
Mint Engine Mountain;Mint Engine;Mountain Components Inc.
GoldenCam;Terra Stack;Meadow Works Inc.
LyraKey Ultra;Cobalt Link / Coral Core Flow;Zenith Holdings Inc.
SolWatch Lite SE;Quartz Engine Drive;Nebula Systems Inc.
MiraDrive Max Ultra Edge;Auric Stack;Glacier Works Inc.
GraphitePhone Air Plus Pro;Violet Wave Vector;Stonebridge Systems Inc.
CodaPad Pro Edge;Sol Bridge;BlueRiver Manufacturing Inc.
BeamCase Gen Lite;Nova Drive;RedStone Electronics Inc.
KairoDrive Gen;Sonic Node Drive;Mosaic Holdings Inc.
QuartzSpeaker Air;Ember Wave Flow;Pinecone Components Inc.
QuantaNode Ultra;Copper Arc;BrightWave Works Inc.
SparkPhone Air Pro;Copper Arc;DeepField Holdings Inc.
Umber Drive Spark Glacier;Umber Drive Spark;Glacier Manufacturing Inc.
Lime Wave Spark EchoLabs;Lime Wave Spark;EchoLabs Industries Inc.
SilverDrive Ultra Edge;Orion Grid;Glacier Electronics Inc.
Golden Shield Mosaic;Golden Shield;Mosaic Group Inc.
Mira Matrix Core EchoLabs;Mira Matrix Core;EchoLabs Industries Inc.
MiraCam;Atlas Sync;Mosaic Holdings Inc.
CitrineCam Gen;Mira Sync;BlueRiver Manufacturing Inc.
OrionBuds SE Edge;Sonic Sync;BlueRiver Manufacturing Inc.
CopperPhone Pro Mini;Coral Signal Mesh;BlueRiver Manufacturing Inc.
VectorBook SE Air Plus;Lyra Drive Core;Highland Devices Inc.
NovaCharge Gen Lite;Magenta Shield;Orion Electronics Inc.
TopazCase Max Ultra;Argo Sync;BlueRiver Manufacturing Inc.
DriveDrive Ultra Edge;Argo Sync;BlueRiver Manufacturing Inc.
PearlStand;Onyx Hub;BlueRiver Manufacturing Inc.
SlateDrive SE Mini;Cerulean Flow;Skylark Labs Inc.
NebulaCase Mini Pro Max;Sierra Shield Drive;Clearwater Works Inc.
CobaltHub Pro Lite;Teal Layer;Stonebridge Devices Inc.
OnyxHub Pro Mini;Teal Layer;Stonebridge Devices Inc.
Kairo Pulse Atlas;Kairo Pulse;Atlas Labs Inc.
AstraDrive Max;Mint Hub;Mountain Components Inc.
Kairo Pulse Northwind;Kairo Pulse;Northwind Manufacturing Inc.
KairoDock Ultra Air;Sable Matrix Kernel;BlueRiver Manufacturing Inc.
DrivePhone Pro Max Ultra;Sable Matrix Kernel;BlueRiver Manufacturing Inc.
SyncDrive Gen;Azure Wave Vault;Astra Manufacturing Inc.
SenseDrive Mini SE Air;Frost Stack;BlueRiver Networks Inc.
EchoBook Ultra Mini;Sonic Stack Link;Nightfall Labs Inc.
Sonic Bridge Aurora;Sonic Bridge;Aurora Industries Inc.
MintKey Max;Indigo Wave;Harbor Systems Inc.
SparkStand SE Gen;Sol Arc;BrightWave Networks Inc.
GlacierRouter Lite;Jade Engine;Skyforge Networks Inc.
TerraBook Gen SE;Topaz Sync;Nightfall Electronics Inc.
BridgeLink Pro Edge;Pulse Sync / Slate Beam / Cinder Fabric Node;Springboard Industries Inc.
HelioDrive Plus Pro;Opal Wave Edge;RedStone Works Inc.
DriveCam Max Mini;Nova Sync / Slate Beam / Magenta Core;Aurora Industries Inc.
LyraNode SE;Umbral Kernel Fabric / Echo Vault;Windmill Networks Inc.
MiraNode SE;Umbral Kernel Fabric;Windmill Networks Inc.
AtlasLink Gen;Zen Sync / Slate Beam / Magenta Core;Lumen Labs Inc.
LumenLink Ultra Mini;Copper Dock / Astra Hub;SilverLine Industries Inc.
NimbusPad Pro;Lyra Signal;Glacier Labs Inc.
MintCharge Pro Plus;Cinder Core Flex;NovaWorks Group Inc.
AstraCam SE Ultra Edge;Zen Beam;Zenith Holdings Inc.
SyncLink Mini Ultra;Topaz Layer;Skylark Manufacturing Inc.
DrivePhone Pro Max Ultra Edge;Cerulean Mesh / Maple Signal Spark / Onyx Shield Dock;RedStone Electronics Inc.
VectorHub SE Pro;Opal Drive;Glacier Manufacturing Inc.
SaffronCam Gen;Saffron Sense;Nebula Holdings Inc.
SonicWatch Edge Gen Lite;Crimson Shield;Nightfall Electronics Inc.
QuartzBeam Lite Mini;Luna Link Node;Pinecone Holdings Inc.
Echo Pulse Wave Catalyst;Echo Pulse Wave;Catalyst Systems Inc.
SenseWatch Max Ultra;Nova Stack Vault;Saffron Industries Inc.
Ruby Grid Lighthouse;Ruby Grid;Lighthouse Technologies Inc.
Aero Spark Mosaic;Aero Spark;Mosaic Group Inc.
Ruby Grid Mosaic;Ruby Grid;Mosaic Group Inc.
SolStand Mini SE Air;Cerulean Grid / Coral Node Flex / Crimson Module Layer / Helio Hub;Aurora Industries Inc.
EdgeDrive Gen Lite;Cerulean Grid / Coral Node Flex / Auric Module Vector / Ivory Pulse / Terra Hub / Indigo Stack Arc;Aurora Industries Inc.
RubyCase Max;Cinder Engine Hub / Slate Beam / Magenta Core;Aurora Industries Inc.
Astra Kernel Hub Catalyst;Astra Kernel Hub;Catalyst Systems Inc.
UmberLink Max Ultra;Zen Module / Azure Signal Edge / Beryl Hub;Meadow Technologies Inc.
MintStand Edge;Jade Drive;Highland Components Inc.
CoreNode Edge;Opal Flex;Sunpeak Systems Inc.
AtlasCam Mini;Cerulean Mesh;Lumen Works Inc.
CobaltKey Ultra Edge Gen;Sol Frame;Meadow Technologies Inc.
Beryl Stack Kernel Arbor;Beryl Stack Kernel;Arbor Systems Inc.
SignalNode Lite SE;Astra Node Matrix;Aurora Systems Inc.
NebulaWatch Edge;Helio Pulse;Nightfall Works Inc.
PearlPad SE;Sierra Flex;Mosaic Holdings Inc.
Ivory Shield Orion;Ivory Shield;Orion Technologies Inc.
CopperRouter Edge Lite;Maple Fabric;Aurora Systems Inc.
NebulaStand Max;Aero Signal;Meadow Works Inc.
CodaPhone Lite;Azure Edge / Crimson Edge;Starlight Holdings Inc.
SummitCharge Pro Ultra;Atlas Sync;Skyforge Electronics Inc.
QuartzKey Pro Air;Cobalt Node;Skyforge Manufacturing Inc.
Ivory Wave Shield Copperline;Ivory Wave Shield;Copperline Holdings Inc.
OnyxBuds Mini Mini SE;Saffron Module Core / Pearl Core / Copper Pulse / Helio Engine;BrightWave Works Inc.
DriveBeam Mini Mini SE;Ivory Stack / Graphite Dock;Catalyst Components Inc.
DriveKey Max Ultra;Cerulean Beam;Mosaic Holdings Inc.
GraphiteBeam SE;Copper Node;DeepField Systems Inc.
SparkBeam Air;Graphite Matrix;Astra Manufacturing Inc.
NovaNode Mini SE Air;Sol Kernel Module;Mosaic Components Inc.
TealCharge SE Air;Nova Layer;Arbor Components Inc.
GoldenStand;Cobalt Node;Copperline Group Inc.
SummitBeam Max;Cobalt Node;DeepField Systems Inc.
Cobalt Node Nightfall;Cobalt Node;Nightfall Labs Inc.
UmberSpeaker Mini Air;Cobalt Node;Orion Electronics Inc.
MintDrive Mini SE;Frost Sync / Ruby Bridge Layer;BlueRiver Manufacturing Inc.
PhotonCam Ultra Gen;Cobalt Node;DeepField Systems Inc.
Umber Kernel Hub Skylark;Umber Kernel Hub;Skylark Manufacturing Inc.
EchoPhone SE Gen Lite;Cobalt Node;Copperline Group Inc.
HarborSpeaker SE Edge Gen;Cobalt Node;Orion Electronics Inc.
OnyxNode Mini Edge Gen;Violet Link;Riverstone Networks Inc.
Sable Flow Orion;Sable Flow;Orion Technologies Inc.
EdgeCharge Mini Max;Teal Matrix Wave;SilverLine Industries Inc.
OpalBook Mini Lite;Cerulean Stack / Ivory Beam;Nightfall Works Inc.
Umber Stack Starlight;Umber Stack;Starlight Systems Inc.
MintLink Mini Ultra;Violet Wave Vector;Sunpeak Holdings Inc.
SlateLink Lite Mini;Opal Engine Shield;Ironwood Devices Inc.
MintPad Edge;Cinder Node;Ironwood Group Inc.
Kairo Arc NovaWorks;Kairo Arc;NovaWorks Industries Inc.
SaffronKey Plus Gen;Pulse Spark;Saffron Systems Inc.
CitrineBuds Mini;Citrine Link Arc / Graphite Signal Module;EchoLabs Industries Inc.
LumenBeam Gen Pro;Zen Engine Bridge;Windmill Networks Inc.
GraphiteDock Pro SE;Cedar Sync;Nebula Holdings Inc.
JadeBeam Ultra Edge;Pulse Matrix;Crown Components Inc.
EdgeWatch Edge Mini;Kairo Wave Hub;Glacier Manufacturing Inc.
RubyPhone Pro Plus;Echo Flex;Lighthouse Technologies Inc.
TopazPhone Lite;Argo Shield;Sunpeak Holdings Inc.
SlateBeam Max Ultra Edge;Golden Module Stack;Cinder Labs Inc.
QuantaLink Ultra;Orion Signal;Glacier Labs Inc.
Sol Kernel EchoLabs;Sol Kernel;EchoLabs Industries Inc.
KairoPad Edge;Sol Core;Skyforge Manufacturing Inc.
GlacierBeam Edge;Ruby Drive;Catalyst Systems Inc.
AzureBook Ultra;Nimbus Matrix;DeepField Group Inc.
VegaRouter Mini;Kairo Arc;NovaWorks Industries Inc.
MiraPhone SE Ultra Edge;Ember Grid Dock;DeepField Industries Inc.
DrivePhone Air Lite;Kairo Arc;NovaWorks Industries Inc.
SaffronPhone Gen;Jade Beam;NovaWorks Devices Inc.
VectorCharge Pro Mini;Terra Sense;Mosaic Systems Inc.
CodaWatch Edge;Cedar Shield;BlueRiver Manufacturing Inc.
OpalBeam;Maple Module;GoldenGate Works Inc.
WaveLink Ultra;Lime Arc;Harbor Components Inc.
GlacierBeam Lite;Cobalt Hub;Orion Networks Inc.
CrimsonNode Gen Mini;Sol Sync;Crown Holdings Inc.
KairoStand SE Max;Astra Node;Zenith Holdings Inc.
NovaPad Air Mini;Kairo Arc;NovaWorks Industries Inc.
CodaCam Edge Plus;Mint Bridge Stack;Saffron Systems Inc.
CodaDrive Plus Lite;Copper Flex;GoldenGate Works Inc.
CorePhone Air Gen;Kairo Arc;NovaWorks Industries Inc.
GraphiteDrive Mini Ultra;Nova Vector;Pinecone Holdings Inc.
